,Project,Month Year,Minutes Saved,Business Case,Total Time Saved (hrs),Tracking Cadence,Tracking Cadence-1,Event Count,Effort,Manual Time (mins),Dev Cost (mins)
207,Tableau LDAP,1/1/2021,5728.0,Creates and permissions Tableau users upon request,1475,Monthly,Monthly,716.0,Tableau LDAP,8.0,0
208,Humanity Schedule Bot,6/1/2020,10.0,"Google Hangouts Chat bot identifies on-shift support (who is the Queue Manager, CLT Agent on call...)",13.46,daily,daily,4.0,Humanity Schedule Bot,2.5,1440
209,ALGE,2/1/2021,0.0,Automated LDAP GES engineer group additions at onboard,6,,monthly,0.0,ALGE,30.0,
210,ALGE,10/1/2021,90.0,Automated LDAP GES engineer group additions at onboard,6,,monthly,3.0,ALGE,30.0,
211,Rehire Associate Check,6/1/2020,180.0,Identifies re-hired associates; reactivates BlueJeans accounts to avoid manually reacting,28.8,daily,daily,15.0,Rehire Associate Check,12.0,1440
212,RingCentral User Deployment,7/1/2021,165.0,Deploys new office user to RingCentral telephony platform at associate on-boarding,17.5833,TBD,Monthly,33.0,RingCentral User Deployment,5.0,6660
213,Windows AD Account Mgmt,7/1/2020,0.0,"Creates Windows AD account, and adds permissions",WIP,TBD,TBD,0.0,Windows AD Account Mgmt,0.0,0
214,GSS Salesforce Account Create,4/1/2020,25.0,"Scripted Account creation for Salesforce accounts (only for GSS eligible cost centers, like CEE)",13.75,Daily,Daily,1.0,GSS Salesforce Account Create,25.0,0
215,sn_tableau_ldap,6/1/2021,5950.0,Fully orchestrated Tableau LDAP requests,1080.8,Monthly,Monthly,850.0,sn_tableau_ldap,7.0,0
216,Tableau LDAP,11/1/2021,5936.0,Creates and permissions Tableau users upon request,1475,Monthly,Monthly,742.0,Tableau LDAP,8.0,0
217,Google Group Management,9/1/2020,0.0,Creation and modification of Google groups (used for associate accounts and mailing lists),WIP,TBD,,0.0,,0.0,
218,Humanity Schedule Bot,8/1/2021,72.5,"Google Hangouts Chat bot identifies on-shift support (who is the Queue Manager, CLT Agent on call...)",13.46,daily,daily,29.0,Humanity Schedule Bot,2.5,1440
219,Pushmail Ticket Deflection,2/1/2021,105.0,deflection of non-actionable pushmail certificate requests submitted to IT Support triage,19.6,Monthly,Monthly,15.0,Pushmail Ticket Deflection,7.0,0
220,Tableau ServiceGroups,11/1/2020,288.0,Applies LDAP servicegroup for BI Data Virt access (for IT-Operations' tickets),161.6,Monthly,Monthly,36.0,Tableau ServiceGroups,8.0,0
221,ggroupMembership,9/1/2021,32.0,"App to assist GES engineers with an SME only task, querying Google Group membership",9.6,,monthly,0.0,ggroupmembership,0.0,
222,Google Group Management,4/1/2021,0.0,Creation and modification of Google groups (used for associate accounts and mailing lists),WIP,TBD,,0.0,,0.0,
223,IT Hire Check,7/1/2020,0.0,Emails IT S&E content to new IT hires,64.5,,Daily,0.0,IT Hire Check,5.0,0
224,MPaaS+ Migration Support,9/1/2020,0.0,Citizen Developed ServiceNow form and workflow for MPaaS+ migrations,6.27,,Monthly,0.0,,0.0,
225,LDAP POSIX Group,12/1/2020,2700.0,Provisions a POSIX LDAP account as requested via ServiceNow webform,814,Monthly,Monthly,225.0,LDAP POSIX Group,12.0,
226,Google Team Drive,4/1/2020,645.0,Scripted creation of Google Team Drive requests (trequested by ServiceNow webform submission),89.25,Monthly,Monthly,43.0,Google Team Drive,15.0,0
227,RingCentral User Termination,10/1/2020,0.0,Terminates office user in RingCentral telephony platform at associate departure,WIP,TBD,TBD,0.0,,0.0,
228,LDAP lookup module,7/1/2020,0.0,Reusable code for automation toolbelt - adds ability to query LDAP source data.,0,Monthly,,0.0,,0.0,
229,NHO Prep Tasks,1/1/2020,0.0,Expedites the preparation phase for GES NHO tasks,WIP,TBD,TBD,0.0,,0.0,
230,Google Group Management,8/1/2021,0.0,Creation and modification of Google groups (used for associate accounts and mailing lists),WIP,TBD,,0.0,,0.0,
231,Google Group Management,3/1/2021,0.0,Creation and modification of Google groups (used for associate accounts and mailing lists),WIP,TBD,,0.0,,0.0,
232,GWS' Weekly Email Reminders,8/1/2021,0.0,sends scheduled email reminders for GWS (fridge cleanout and snack time),0,Monthly,Monthly,0.0,,0.0,
233,Tableau ServiceGroups,4/1/2021,752.0,Applies LDAP servicegroup for BI Data Virt access (for IT-Operations' tickets),161.6,Monthly,Monthly,94.0,Tableau ServiceGroups,8.0,0
234,Google Calendar Creation,10/1/2021,0.0,Automation of approved Google Calendar requests via ServiceNow form,WIP,TBD,TBD,0.0,Google Calendar Creation,0.0,
235,RingCentral User Deployment,3/1/2020,0.0,Deploys new office user to RingCentral telephony platform at associate on-boarding,17.5833,TBD,Monthly,0.0,RingCentral User Deployment,5.0,6660
236,RingCentral User Termination,8/1/2021,0.0,Terminates office user in RingCentral telephony platform at associate departure,WIP,TBD,TBD,0.0,,0.0,
237,SFDC Account Terminations,6/1/2021,0.0,GSS SFDC account terminations for departed users,WIP,TBD,TBD,0.0,,0.0,
238,RingCentral User Deployment,5/1/2021,0.0,Deploys new office user to RingCentral telephony platform at associate on-boarding,17.5833,TBD,Monthly,0.0,RingCentral User Deployment,5.0,6660
239,MPaaS+ General Support Request,8/1/2020,0.0,Citizen Developed ServiceNow form and workflow for MPaaS+ general support/issues,28,,Monthly,0.0,,0.0,
240,Bulk Email Alias Deletions,10/1/2021,0.0,Bulk deletion of email aliases for managers with multiple departed reportees,WIP,TBD,TBD,0.0,Bulk Email Alias Deletions,0.0,
241,LDAP POSIX Group,7/1/2020,2220.0,Provisions a POSIX LDAP account as requested via ServiceNow webform,814,Monthly,Monthly,185.0,LDAP POSIX Group,12.0,
242,ggroupMembership,7/1/2021,8.0,"App to assist GES engineers with an SME only task, querying Google Group membership",9.6,,monthly,0.0,ggroupmembership,0.0,
243,Support Chat Notification Bot,11/1/2020,189.0,Notifies Support in Google Hangouts Chat that a Support Chat customer is waiting,32.33,Weekly,Weekly,378.0,Support Chat Notification Bot,0.5,0
244,GSS Salesforce Account Create,12/1/2020,0.0,"Scripted Account creation for Salesforce accounts (only for GSS eligible cost centers, like CEE)",13.75,Daily,Daily,0.0,GSS Salesforce Account Create,25.0,0
245,Mailing Lists,1/1/2020,3400.0,Automatically provisions a mailing list as requested via ServiceNow webform,783.67,Monthly,Monthly,170.0,Mailing Lists,20.0,
246,IT Manager Check,5/1/2021,15.0,Emails IT S&E content to new IT Manager hires,5.3,,Daily,3.0,IT Manager Check,5.0,0
247,Tableau LDAP,9/1/2021,8680.0,Creates and permissions Tableau users upon request,1475,Monthly,Monthly,1085.0,Tableau LDAP,8.0,0
248,Humanity Schedule Bot,7/1/2020,15.0,"Google Hangouts Chat bot identifies on-shift support (who is the Queue Manager, CLT Agent on call...)",13.46,daily,daily,6.0,Humanity Schedule Bot,2.5,1440
249,LDAP-Rover Syncs,3/1/2021,0.0,"Syncs some IT LDAP groups to Rover. Prevents manual search, copy/paste across many groups",0,daily,,0.0,,0.0,
250,RHEL 8 Deployment,7/1/2020,540.0,Automated the deployment of RHEL 8 upgrades for all GES Engineers,49.5,Monthly,,0.0,,0.0,
251,ggroupMembership,11/1/2021,48.0,"App to assist GES engineers with an SME only task, querying Google Group membership",9.6,,monthly,0.0,ggroupmembership,0.0,
252,Tableau LDAP,2/1/2020,9544.0,Creates and permissions Tableau users upon request,1475,Monthly,Monthly,1193.0,Tableau LDAP,8.0,0
253,LDAP Service Group,10/1/2020,0.0,Deprecated form/workflow; See J19 - Tableau ServiceGroups values,0,Monthly,,0.0,,0.0,
254,LDAP lookup module,12/1/2020,0.0,Reusable code for automation toolbelt - adds ability to query LDAP source data.,0,Monthly,,0.0,,0.0,
255,Autolist KB Daily Update,9/1/2020,0.0,Updates the ServiceNow KnowledgeBase daily to populate a list of automated Mailing Lists,blocked,TBD,TBD,0.0,Autolist KB Daily Update,0.0,
256,ALGE,12/1/2021,0.0,Automated LDAP GES engineer group additions at onboard,6,,monthly,0.0,ALGE,30.0,
257,Tableau LDAP,5/1/2021,7528.0,Creates and permissions Tableau users upon request,1475,Monthly,Monthly,941.0,Tableau LDAP,8.0,0
258,Support Chat Notification Bot,3/1/2021,170.0,Notifies Support in Google Hangouts Chat that a Support Chat customer is waiting,32.33,Weekly,Weekly,340.0,Support Chat Notification Bot,0.5,0
259,ggroupMembership,11/1/2020,0.0,"App to assist GES engineers with an SME only task, querying Google Group membership",9.6,,monthly,0.0,ggroupmembership,0.0,
260,Pushmail Ticket Deflection,10/1/2020,154.0,deflection of non-actionable pushmail certificate requests submitted to IT Support triage,19.6,Monthly,Monthly,22.0,Pushmail Ticket Deflection,7.0,0
261,Google Calendar Creation,12/1/2020,0.0,Automation of approved Google Calendar requests via ServiceNow form,WIP,TBD,TBD,0.0,Google Calendar Creation,0.0,
262,sn_tableau_ldap,12/1/2020,3192.0,Fully orchestrated Tableau LDAP requests,1080.8,Monthly,Monthly,456.0,sn_tableau_ldap,7.0,0
263,global_wifi,11/1/2020,0.0,"Script created to update global wifi password for all RH offices, every 6 months",0,Monthly,Monthly,0.0,global_wifi,10.0,0
264,GWS' Weekly Email Reminders,8/1/2020,68.0,sends scheduled email reminders for GWS (fridge cleanout and snack time),0,Monthly,Monthly,0.0,,0.0,
265,MPaaS+ General Support Request,11/1/2020,0.0,Citizen Developed ServiceNow form and workflow for MPaaS+ general support/issues,28,,Monthly,0.0,,0.0,
266,Tableau ServiceGroups,11/1/2021,984.0,Applies LDAP servicegroup for BI Data Virt access (for IT-Operations' tickets),161.6,Monthly,Monthly,123.0,Tableau ServiceGroups,8.0,0
267,Google Team Drive,12/1/2020,120.0,Scripted creation of Google Team Drive requests (trequested by ServiceNow webform submission),89.25,Monthly,Monthly,8.0,Google Team Drive,15.0,0
268,Mailing Lists,4/1/2020,4680.0,Automatically provisions a mailing list as requested via ServiceNow webform,783.67,Monthly,Monthly,234.0,Mailing Lists,20.0,
269,IT Hire Check,2/1/2021,340.0,Emails IT S&E content to new IT hires,64.5,,Daily,68.0,IT Hire Check,5.0,0
270,Rehire Associate Check,2/1/2021,192.0,Identifies re-hired associates; reactivates BlueJeans accounts to avoid manually reacting,28.8,daily,daily,16.0,Rehire Associate Check,12.0,1440
271,Google Calendar Creation,11/1/2020,0.0,Automation of approved Google Calendar requests via ServiceNow form,WIP,TBD,TBD,0.0,Google Calendar Creation,0.0,
272,Rehire Associate Check,3/1/2021,120.0,Identifies re-hired associates; reactivates BlueJeans accounts to avoid manually reacting,28.8,daily,daily,10.0,Rehire Associate Check,12.0,1440
273,Google Alias,6/1/2021,312.0,Creation of Google aliases (used for associate personal aliases),72.4,,monthly,0.0,,0.0,
274,Pushmail Ticket Deflection,6/1/2020,42.0,deflection of non-actionable pushmail certificate requests submitted to IT Support triage,19.6,Monthly,Monthly,6.0,Pushmail Ticket Deflection,7.0,0
275,Tableau LDAP,6/1/2020,13112.0,Creates and permissions Tableau users upon request,1475,Monthly,Monthly,1639.0,Tableau LDAP,8.0,0
276,Google Alias,4/1/2021,284.0,Creation of Google aliases (used for associate personal aliases),72.4,,monthly,0.0,,0.0,
277,RingCentral User Deployment,5/1/2020,0.0,Deploys new office user to RingCentral telephony platform at associate on-boarding,17.5833,TBD,Monthly,0.0,RingCentral User Deployment,5.0,6660
278,GWS' Weekly Email Reminders,11/1/2020,0.0,sends scheduled email reminders for GWS (fridge cleanout and snack time),0,Monthly,Monthly,0.0,,0.0,
279,Email Alias Termination,8/1/2020,1564.0,"Terminates the email alias for departed users not in France, Italy, Germany, or Switzerland",146.33,Monthly,Monthly,0.0,,0.0,
280,RingCentral User Termination,6/1/2020,0.0,Terminates office user in RingCentral telephony platform at associate departure,WIP,TBD,TBD,0.0,,0.0,
281,GWS' Weekly Email Reminders,4/1/2021,0.0,sends scheduled email reminders for GWS (fridge cleanout and snack time),0,Monthly,Monthly,0.0,,0.0,
282,IT Manager Check,8/1/2020,0.0,Emails IT S&E content to new IT Manager hires,5.3,,Daily,0.0,IT Manager Check,5.0,0
283,GWS' Weekly Email Reminders,5/1/2020,76.0,sends scheduled email reminders for GWS (fridge cleanout and snack time),0,Monthly,Monthly,0.0,,0.0,
284,Autolist KB Daily Update,2/1/2021,0.0,Updates the ServiceNow KnowledgeBase daily to populate a list of automated Mailing Lists,blocked,TBD,TBD,0.0,Autolist KB Daily Update,0.0,
285,Pushmail Ticket Deflection,4/1/2020,84.0,deflection of non-actionable pushmail certificate requests submitted to IT Support triage,19.6,Monthly,Monthly,12.0,Pushmail Ticket Deflection,7.0,0
286,NHO Prep Tasks,6/1/2020,0.0,Expedites the preparation phase for GES NHO tasks,WIP,TBD,TBD,0.0,,0.0,
287,Tableau API Token Refresher,3/1/2020,35.0,Refreshes Tableau API access token to prevent lockout,9.22,Monthly,Monthly,5.0,Tableau API Token Refresher,7.0,3240
288,Google Alias,7/1/2021,324.0,Creation of Google aliases (used for associate personal aliases),72.4,,monthly,0.0,,0.0,
289,IT Manager Check,3/1/2020,0.0,Emails IT S&E content to new IT Manager hires,5.3,,Daily,0.0,IT Manager Check,5.0,0
290,Email Alias Termination,5/1/2020,984.0,"Terminates the email alias for departed users not in France, Italy, Germany, or Switzerland",146.33,Monthly,Monthly,0.0,,0.0,
291,Rehire Associate Check,1/1/2020,288.0,Identifies re-hired associates; reactivates BlueJeans accounts to avoid manually reacting,28.8,daily,daily,24.0,Rehire Associate Check,12.0,1440
292,Mailing Lists,2/1/2021,4020.0,Automatically provisions a mailing list as requested via ServiceNow webform,783.67,Monthly,Monthly,201.0,Mailing Lists,20.0,
293,Support Chat Notification Bot,8/1/2021,154.5,Notifies Support in Google Hangouts Chat that a Support Chat customer is waiting,32.33,Weekly,Weekly,309.0,Support Chat Notification Bot,0.5,0
294,Google Team Drive,6/1/2021,435.0,Scripted creation of Google Team Drive requests (trequested by ServiceNow webform submission),89.25,Monthly,Monthly,29.0,Google Team Drive,15.0,0
295,ServiceNow Lookup module,9/1/2020,54.0,Ability to automatically pull Service-Now data and interact with Service-now tasks / processes.,16.6,Monthly,,0.0,,0.0,
296,NGDC Service Catalog Item,9/1/2021,140.0,NextGen Data Center ServiceNow webform and workflow with RESTful API Ansible Tower call,13,,Daily,0.0,,0.0,
297,LDAP lookup module,4/1/2021,0.0,Reusable code for automation toolbelt - adds ability to query LDAP source data.,0,Monthly,,0.0,,0.0,
298,RingCentral User Deployment,1/1/2020,0.0,Deploys new office user to RingCentral telephony platform at associate on-boarding,17.5833,TBD,Monthly,0.0,RingCentral User Deployment,5.0,6660
299,Tableau ServiceGroups,6/1/2020,672.0,Applies LDAP servicegroup for BI Data Virt access (for IT-Operations' tickets),161.6,Monthly,Monthly,84.0,Tableau ServiceGroups,8.0,0
300,Google Group Management,6/1/2020,0.0,Creation and modification of Google groups (used for associate accounts and mailing lists),WIP,TBD,,0.0,,0.0,
301,SFDC Account Terminations,5/1/2020,0.0,GSS SFDC account terminations for departed users,WIP,TBD,TBD,0.0,,0.0,
302,Tableau LDAP,3/1/2020,9928.0,Creates and permissions Tableau users upon request,1475,Monthly,Monthly,1241.0,Tableau LDAP,8.0,0
303,ggroupMembership,4/1/2021,0.0,"App to assist GES engineers with an SME only task, querying Google Group membership",9.6,,monthly,0.0,ggroupmembership,0.0,
304,GSS Salesforce Account Create,11/1/2021,125.0,"Scripted Account creation for Salesforce accounts (only for GSS eligible cost centers, like CEE)",13.75,Daily,Daily,5.0,GSS Salesforce Account Create,25.0,0
305,Mail Alias,11/1/2020,608.0,Automated provisioning of a mail alias (if available) as requested via ServiceNow webform,188.13,Monthly,Monthly,76.0,Mail Alias,8.0,
306,Humanity Schedule Bot,3/1/2021,32.5,"Google Hangouts Chat bot identifies on-shift support (who is the Queue Manager, CLT Agent on call...)",13.46,daily,daily,13.0,Humanity Schedule Bot,2.5,1440
307,NHO Prep Tasks,8/1/2021,0.0,Expedites the preparation phase for GES NHO tasks,WIP,TBD,TBD,0.0,,0.0,
308,Mailing Lists,8/1/2020,2560.0,Automatically provisions a mailing list as requested via ServiceNow webform,783.67,Monthly,Monthly,128.0,Mailing Lists,20.0,
309,DBA - Redshift Account Deployment,1/1/2020,0.0,Automation of database account requests for the AWS Redshift Database,153,Monthly,Monthly,0.0,DBA - Redshift Account Deployment,7.5,0
310,Google Calendar Creation,11/1/2021,0.0,Automation of approved Google Calendar requests via ServiceNow form,WIP,TBD,TBD,0.0,Google Calendar Creation,0.0,
311,MPaaS+ General Support Request,1/1/2021,0.0,Citizen Developed ServiceNow form and workflow for MPaaS+ general support/issues,28,,Monthly,0.0,,0.0,
312,LDAP POSIX Group,3/1/2020,4596.0,Provisions a POSIX LDAP account as requested via ServiceNow webform,814,Monthly,Monthly,383.0,LDAP POSIX Group,12.0,
313,ggroupMembership,3/1/2020,0.0,"App to assist GES engineers with an SME only task, querying Google Group membership",9.6,,monthly,0.0,ggroupmembership,0.0,
314,Google Group Management,1/1/2021,0.0,Creation and modification of Google groups (used for associate accounts and mailing lists),WIP,TBD,,0.0,,0.0,
315,sn_tableau_ldap,3/1/2021,5579.0,Fully orchestrated Tableau LDAP requests,1080.8,Monthly,Monthly,797.0,sn_tableau_ldap,7.0,0
316,Support Chat Notification Bot,1/1/2020,102.0,Notifies Support in Google Hangouts Chat that a Support Chat customer is waiting,32.33,Weekly,Weekly,204.0,Support Chat Notification Bot,0.5,0
317,Pushmail Ticket Deflection,8/1/2021,28.0,deflection of non-actionable pushmail certificate requests submitted to IT Support triage,19.6,Monthly,Monthly,4.0,Pushmail Ticket Deflection,7.0,0
318,LDAP-Rover Syncs,5/1/2021,0.0,"Syncs some IT LDAP groups to Rover. Prevents manual search, copy/paste across many groups",0,daily,,0.0,,0.0,
319,Google Group Management,8/1/2020,0.0,Creation and modification of Google groups (used for associate accounts and mailing lists),WIP,TBD,,0.0,,0.0,
320,LDAP POSIX Group,11/1/2020,2484.0,Provisions a POSIX LDAP account as requested via ServiceNow webform,814,Monthly,Monthly,207.0,LDAP POSIX Group,12.0,
321,Autolist KB Daily Update,3/1/2021,0.0,Updates the ServiceNow KnowledgeBase daily to populate a list of automated Mailing Lists,blocked,TBD,TBD,0.0,Autolist KB Daily Update,0.0,
322,MPaaS+ Migration Support,4/1/2021,0.0,Citizen Developed ServiceNow form and workflow for MPaaS+ migrations,6.27,,Monthly,0.0,,0.0,
323,Google Group Management,2/1/2021,0.0,Creation and modification of Google groups (used for associate accounts and mailing lists),WIP,TBD,,0.0,,0.0,
324,NHO Prep Tasks,10/1/2020,0.0,Expedites the preparation phase for GES NHO tasks,WIP,TBD,TBD,0.0,,0.0,
325,Mailing Lists,10/1/2020,3200.0,Automatically provisions a mailing list as requested via ServiceNow webform,783.67,Monthly,Monthly,160.0,Mailing Lists,20.0,
326,Mailing Lists,8/1/2021,3460.0,Automatically provisions a mailing list as requested via ServiceNow webform,783.67,Monthly,Monthly,173.0,Mailing Lists,20.0,
327,LDAP Service Group,1/1/2021,0.0,Deprecated form/workflow; See J19 - Tableau ServiceGroups values,0,Monthly,,0.0,,0.0,
328,SFDC Account Terminations,7/1/2021,0.0,GSS SFDC account terminations for departed users,WIP,TBD,TBD,0.0,,0.0,
329,ALGE,1/1/2020,0.0,Automated LDAP GES engineer group additions at onboard,6,,monthly,0.0,ALGE,30.0,
330,Tableau LDAP,3/1/2021,7504.0,Creates and permissions Tableau users upon request,1475,Monthly,Monthly,938.0,Tableau LDAP,8.0,0
331,RHEL 8 Deployment,11/1/2020,0.0,Automated the deployment of RHEL 8 upgrades for all GES Engineers,49.5,Monthly,,0.0,,0.0,
332,LDAP-Rover Syncs,11/1/2021,0.0,"Syncs some IT LDAP groups to Rover. Prevents manual search, copy/paste across many groups",0,daily,,0.0,,0.0,
333,global_wifi,3/1/2020,0.0,"Script created to update global wifi password for all RH offices, every 6 months",0,Monthly,Monthly,0.0,global_wifi,10.0,0
334,Email Alias Termination,11/1/2020,764.0,"Terminates the email alias for departed users not in France, Italy, Germany, or Switzerland",146.33,Monthly,Monthly,0.0,,0.0,
335,NGDC Service Catalog Item,12/1/2020,0.0,NextGen Data Center ServiceNow webform and workflow with RESTful API Ansible Tower call,13,,Daily,0.0,,0.0,
336,ServiceNow Lookup module,11/1/2020,54.0,Ability to automatically pull Service-Now data and interact with Service-now tasks / processes.,16.6,Monthly,,0.0,,0.0,
337,IT Hire Check,3/1/2020,0.0,Emails IT S&E content to new IT hires,64.5,,Daily,0.0,IT Hire Check,5.0,0
338,Tableau LDAP,1/1/2020,7280.0,Creates and permissions Tableau users upon request,1475,Monthly,Monthly,910.0,Tableau LDAP,8.0,0
339,Google Group Management,5/1/2020,0.0,Creation and modification of Google groups (used for associate accounts and mailing lists),WIP,TBD,,0.0,,0.0,
340,LDAP POSIX Group,4/1/2020,5052.0,Provisions a POSIX LDAP account as requested via ServiceNow webform,814,Monthly,Monthly,421.0,LDAP POSIX Group,12.0,
341,Mail Alias,6/1/2021,888.0,Automated provisioning of a mail alias (if available) as requested via ServiceNow webform,188.13,Monthly,Monthly,111.0,Mail Alias,8.0,
342,Bulk Email Alias Deletions,4/1/2021,0.0,Bulk deletion of email aliases for managers with multiple departed reportees,WIP,TBD,TBD,0.0,Bulk Email Alias Deletions,0.0,
343,LDAP Service Group,4/1/2020,0.0,Deprecated form/workflow; See J19 - Tableau ServiceGroups values,0,Monthly,,0.0,,0.0,
344,Tableau API Token Refresher,10/1/2020,28.0,Refreshes Tableau API access token to prevent lockout,9.22,Monthly,Monthly,4.0,Tableau API Token Refresher,7.0,3240
345,Tableau ServiceGroups,1/1/2020,400.0,Applies LDAP servicegroup for BI Data Virt access (for IT-Operations' tickets),161.6,Monthly,Monthly,50.0,Tableau ServiceGroups,8.0,0
346,GWS' Weekly Email Reminders,5/1/2021,0.0,sends scheduled email reminders for GWS (fridge cleanout and snack time),0,Monthly,Monthly,0.0,,0.0,
347,Email Alias Termination,2/1/2020,748.0,"Terminates the email alias for departed users not in France, Italy, Germany, or Switzerland",146.33,Monthly,Monthly,0.0,,0.0,
348,SFDC Account Terminations,12/1/2021,0.0,GSS SFDC account terminations for departed users,WIP,TBD,TBD,0.0,,0.0,
349,LDAP Service Group,6/1/2021,0.0,Deprecated form/workflow; See J19 - Tableau ServiceGroups values,0,Monthly,,0.0,,0.0,
350,Google Calendar Creation,6/1/2020,0.0,Automation of approved Google Calendar requests via ServiceNow form,WIP,TBD,TBD,0.0,Google Calendar Creation,0.0,
351,NHO Prep Tasks,3/1/2021,0.0,Expedites the preparation phase for GES NHO tasks,WIP,TBD,TBD,0.0,,0.0,
352,ServiceNow Lookup module,11/1/2021,0.0,Ability to automatically pull Service-Now data and interact with Service-now tasks / processes.,16.6,Monthly,,0.0,,0.0,
353,Google Team Drive,7/1/2021,390.0,Scripted creation of Google Team Drive requests (trequested by ServiceNow webform submission),89.25,Monthly,Monthly,26.0,Google Team Drive,15.0,0
354,IT Manager Check,10/1/2021,45.0,Emails IT S&E content to new IT Manager hires,5.3,,Daily,9.0,IT Manager Check,5.0,0
355,RHEL 8 Deployment,5/1/2021,0.0,Automated the deployment of RHEL 8 upgrades for all GES Engineers,49.5,Monthly,,0.0,,0.0,
356,MPaaS+ Migration Support,9/1/2021,112.0,Citizen Developed ServiceNow form and workflow for MPaaS+ migrations,6.27,,Monthly,0.0,,0.0,
357,SFDC Account Terminations,11/1/2021,0.0,GSS SFDC account terminations for departed users,WIP,TBD,TBD,0.0,,0.0,
358,Google Team Drive,5/1/2020,450.0,Scripted creation of Google Team Drive requests (trequested by ServiceNow webform submission),89.25,Monthly,Monthly,30.0,Google Team Drive,15.0,0
359,Mail Alias,5/1/2021,896.0,Automated provisioning of a mail alias (if available) as requested via ServiceNow webform,188.13,Monthly,Monthly,112.0,Mail Alias,8.0,
360,ALGE,12/1/2020,0.0,Automated LDAP GES engineer group additions at onboard,6,,monthly,0.0,ALGE,30.0,
361,Support Chat Notification Bot,9/1/2020,168.0,Notifies Support in Google Hangouts Chat that a Support Chat customer is waiting,32.33,Weekly,Weekly,336.0,Support Chat Notification Bot,0.5,0
362,Pushmail Ticket Deflection,7/1/2020,98.0,deflection of non-actionable pushmail certificate requests submitted to IT Support triage,19.6,Monthly,Monthly,14.0,Pushmail Ticket Deflection,7.0,0
363,NGDC Service Catalog Item,4/1/2021,20.0,NextGen Data Center ServiceNow webform and workflow with RESTful API Ansible Tower call,13,,Daily,0.0,,0.0,
364,MPaaS+ Migration Support,3/1/2020,0.0,Citizen Developed ServiceNow form and workflow for MPaaS+ migrations,6.27,,Monthly,0.0,,0.0,
365,LDAP-Rover Syncs,2/1/2020,0.0,"Syncs some IT LDAP groups to Rover. Prevents manual search, copy/paste across many groups",0,daily,,0.0,,0.0,
366,Google Alias,1/1/2021,244.0,Creation of Google aliases (used for associate personal aliases),72.4,,monthly,0.0,,0.0,
367,Email Alias Termination,4/1/2021,380.0,"Terminates the email alias for departed users not in France, Italy, Germany, or Switzerland",146.33,Monthly,Monthly,0.0,,0.0,
368,Rehire Associate Check,12/1/2021,36.0,Identifies re-hired associates; reactivates BlueJeans accounts to avoid manually reacting,28.8,daily,daily,3.0,Rehire Associate Check,12.0,1440
369,Pushmail Ticket Deflection,9/1/2021,21.0,deflection of non-actionable pushmail certificate requests submitted to IT Support triage,19.6,Monthly,Monthly,3.0,Pushmail Ticket Deflection,7.0,0
370,Google Group Management,11/1/2020,0.0,Creation and modification of Google groups (used for associate accounts and mailing lists),WIP,TBD,,0.0,,0.0,
371,Mailing Lists,9/1/2021,4760.0,Automatically provisions a mailing list as requested via ServiceNow webform,783.67,Monthly,Monthly,238.0,Mailing Lists,20.0,
372,RingCentral User Deployment,8/1/2021,165.0,Deploys new office user to RingCentral telephony platform at associate on-boarding,17.5833,TBD,Monthly,33.0,RingCentral User Deployment,5.0,6660
373,ServiceNow Lookup module,7/1/2020,84.0,Ability to automatically pull Service-Now data and interact with Service-now tasks / processes.,16.6,Monthly,,0.0,,0.0,
374,Mail Alias,8/1/2021,864.0,Automated provisioning of a mail alias (if available) as requested via ServiceNow webform,188.13,Monthly,Monthly,108.0,Mail Alias,8.0,
375,LDAP Service Group,11/1/2020,0.0,Deprecated form/workflow; See J19 - Tableau ServiceGroups values,0,Monthly,,0.0,,0.0,
376,Bulk Email Alias Deletions,12/1/2021,0.0,Bulk deletion of email aliases for managers with multiple departed reportees,WIP,TBD,TBD,0.0,Bulk Email Alias Deletions,0.0,
377,Google Team Drive,7/1/2020,300.0,Scripted creation of Google Team Drive requests (trequested by ServiceNow webform submission),89.25,Monthly,Monthly,20.0,Google Team Drive,15.0,0
378,Rehire Associate Check,7/1/2020,168.0,Identifies re-hired associates; reactivates BlueJeans accounts to avoid manually reacting,28.8,daily,daily,14.0,Rehire Associate Check,12.0,1440
379,GSS Salesforce Account Create,1/1/2020,75.0,"Scripted Account creation for Salesforce accounts (only for GSS eligible cost centers, like CEE)",13.75,Daily,Daily,3.0,GSS Salesforce Account Create,25.0,0
380,NGDC Service Catalog Item,11/1/2020,0.0,NextGen Data Center ServiceNow webform and workflow with RESTful API Ansible Tower call,13,,Daily,0.0,,0.0,
381,GWS' Weekly Email Reminders,12/1/2021,0.0,sends scheduled email reminders for GWS (fridge cleanout and snack time),0,Monthly,Monthly,0.0,,0.0,
382,MPaaS+ Migration Support,7/1/2020,0.0,Citizen Developed ServiceNow form and workflow for MPaaS+ migrations,6.27,,Monthly,0.0,,0.0,
383,Google Team Drive,8/1/2020,330.0,Scripted creation of Google Team Drive requests (trequested by ServiceNow webform submission),89.25,Monthly,Monthly,22.0,Google Team Drive,15.0,0
384,ALGE,4/1/2020,0.0,Automated LDAP GES engineer group additions at onboard,6,,monthly,0.0,ALGE,30.0,
385,NGDC Service Catalog Item,5/1/2021,80.0,NextGen Data Center ServiceNow webform and workflow with RESTful API Ansible Tower call,13,,Daily,0.0,,0.0,
